航班,状态,目的地,预计到达,实际到达,航站楼,登机口
MU2469,已到达,['恩施'],12:55,13:09,T2,61
MU2469,已到达,['武汉'],12:55,13:09,T2,61
MU5111,已到达,"['北京', '首都机场']",13:00,13:15,T2,56
FM9371,已到达,['延吉'],13:05,18:18,T2,34
FM9371,已到达,['盐城'],13:05,18:18,T2,34
MU7785,已到达,['重庆'],13:10,13:11,T2,71
MU7785,已到达,['信阳市'],13:10,13:11,T2,71
MU5804,已到达,['昆明'],13:15,13:23,T2,66
MU2156,已起飞,['西宁'],13:20,14:53,T2,62
MU2156,已到达,['西安'],13:20,14:53,T2,62
MU2508,已到达,['武汉'],13:25,13:21,T2,72
FM9309,已到达,['广州'],13:30,13:40,T2,41
FM9103,已到达,"['北京', '首都机场']",13:30,13:47,T2,40
MU9726,已到达,['大理'],13:40,13:53,T2,35
MU2403,已到达,['太原'],13:50,15:26,T2,70
FM9063,已到达,['天津'],13:50,14:07,T2,42
MU5113,已到达,"['北京', '首都机场']",14:00,14:12,T2,57
MU5345,已到达,['深圳'],14:05,14:56,T2,51
MU5271,已到达,['长沙'],14:05,14:05,T2,67
FM9219,已起飞,['和田'],14:10,15:28,T2,75
FM9219,已起飞,['乌鲁木齐'],14:10,15:28,T2,75
MU2434,已到达,['鄂尔多斯'],14:10,15:09,T2,63
MU2434,已到达,['洛阳'],14:10,15:09,T2,63
MU2158,已到达,['西安'],14:20,14:58,T2,65
MU5307,已到达,['广州'],14:30,15:11,T2,73
FM9329,已到达,['郑州'],14:30,14:31,T2,33
FM9209,已到达,['南宁'],14:55,15:37,T2,56
MU5115,已到达,"['北京', '首都机场']",15:00,15:03,T2,37
MU5515,已到达,['青岛'],15:00,15:13,T2,61
MU5347,已到达,['深圳'],15:05,16:10,T2,48
FM9403,已到达,['成都'],15:10,15:39,T2,71
MU5429,已到达,['重庆'],15:15,15:53,T2,28
MU5929,未起飞,['文山'],15:25,待定,T2,16
MU5806,已到达,['昆明'],15:25,16:29,T2,40
MU5929,-,['昆明'],15:25,待定,-,待定
FM9373,已到达,['厦门'],15:25,15:44,T2,41
MU2385,未起飞,['中卫'],15:30,待定,T3,H01
MU9641,未起飞,['敦煌'],15:30,待定,T3,H18
MU2160,已到达,['西安'],15:30,15:46,T2,66
MU2385,-,['西安'],15:30,待定,-,待定
MU9641,-,['西安'],15:30,待定,-,待定
FM9315,已到达,['广州'],15:30,17:14,T2,62
FM9375,已到达,['郑州'],15:30,15:49,T2,64
FM9379,已到达,['深圳'],15:45,16:24,T2,51
MU5543,已到达,['烟台'],15:45,16:26,T2,69
FM9521,已到达,['三亚'],15:55,16:02,T2,72
MU5439,已到达,['天津'],15:55,16:31,T2,74
MU5117,已到达,"['北京', '首都机场']",16:00,16:07,T2,29
FM9549,已到达,['成都'],16:10,17:04,T2,57
FM9207,已到达,['西安'],16:10,16:12,T2,33
FM9423,已到达,['重庆'],16:15,16:50,T2,21
FM9185,已到达,['沈阳'],16:20,16:46,T2,27
MU5385,已到达,['郑州'],16:25,16:36,T2,43
MU2522,已到达,['武汉'],16:25,17:20,T2,63
MU5808,已到达,['昆明'],16:30,16:59,T2,37
MU5808,已到达,['昆明'],16:30,16:59,T2,37
MU5313,已起飞,['广州'],16:30,18:06,T2,67
FM9361,已到达,['长沙'],16:50,17:49,T2,31
MU5119,已到达,"['北京', '首都机场']",17:00,17:14,T2,59
FM9116,已到达,['厦门'],17:05,17:38,T2,75
MU5353,已起飞,['深圳'],17:10,18:41,T2,60
FM9501,已到达,['揭阳'],17:10,17:22,T2,32
MU5810,已起飞,['昆明'],17:15,17:32,T2,71
MU5219,已起飞,['珠海'],17:15,18:52,T2,66
FM9425,已起飞,['重庆'],17:20,17:42,T2,53
MU5689,已起飞,['呼和浩特'],17:25,17:47,T2,51
MU2405,已起飞,['太原'],17:25,18:02,T2,33
FM9327,未起飞,['广州'],17:30,待定,T2,53
MU5157,已到达,"['北京', '首都机场']",17:30,17:36,T2,64
MU5517,已起飞,['哈尔滨'],17:50,18:38,T2,65
MU5517,已到达,['青岛'],17:50,18:38,T2,65
MU5121,已起飞,"['北京', '首都机场']",18:00,18:08,T2,40
MU2994,已起飞,['赣州'],18:00,19:07,T2,72
MU2166,已起飞,['榆林'],18:05,18:04,T2,70
MU2166,已起飞,['西安'],18:05,18:04,T2,70
MU5209,已起飞,['揭阳'],18:15,18:26,T2,69
MU5355,已起飞,['深圳'],18:30,19:33,T2,73
FM9313,未起飞,['广州'],18:30,待定,T2,21
FM9363,已起飞,['武汉'],18:30,18:33,T2,68
KN5956,已起飞,"['北京', '南苑机场']",18:40,18:48,T2,63
MU5549,已起飞,['临沂'],18:40,18:50,T2,32
FM9395,已起飞,['长沙'],18:45,18:57,T2,28
MU5123,已起飞,"['北京', '首都机场']",19:00,19:03,T2,29
MU5581,未起飞,['威海'],19:00,待定,T2,25
MU5579,已起飞,['福州'],19:00,19:14,T2,57
MU5357,未起飞,['深圳'],19:05,待定,T2,61
MU5411,已起飞,['成都'],19:15,19:40,T2,26
MU2168,已起飞,['西安'],19:30,19:24,T2,64
MU5315,未起飞,['广州'],19:30,待定,T2,74
KN2218,未起飞,['天津'],19:30,待定,T2,72
MU5413,已起飞,['成都'],19:35,19:44,T2,62
FM9321,未起飞,['郑州'],19:50,待定,T2,34
MU5812,未起飞,['昆明'],20:00,待定,T2,69
MU5125,未起飞,"['北京', '首都机场']",20:00,待定,T2,67
MU2512,未起飞,['武汉'],20:00,待定,T2,70
MU5350,未起飞,['烟台'],20:05,待定,T2,65
MU5415,未起飞,['成都'],20:15,待定,T2,33
MU5523,未起飞,['青岛'],20:15,待定,T2,63
MU2170,未起飞,['西安'],20:25,待定,T2,30
MU2407,未起飞,['太原'],20:25,待定,T2,22
MU5359,未起飞,['深圳'],20:30,待定,T2,51
MU5577,未起飞,['青岛'],20:30,待定,T2,24
MU5309,未起飞,['广州'],20:35,待定,T2,25
MU5159,未起飞,"['北京', '首都机场']",20:45,待定,T2,60
MU5331,未起飞,"['北京', '首都机场']",21:00,待定,T2,51
MU5559,未起飞,['南昌'],21:05,待定,T2,63
MU2514,未起飞,['武汉'],21:20,待定,T2,64
FM9459,未起飞,['贵阳'],21:45,待定,T2,75
MU9693,未起飞,['太原'],21:45,待定,T2,42
FM9167,未起飞,['呼和浩特'],22:05,待定,T2,71
MU5311,未起飞,['广州'],22:25,待定,T2,32
MU9919,未起飞,['西安'],23:00,待定,T2,68
