航班,状态,出发地,预计起飞,实际起飞,航站楼,登机口
FM9230,已到达,['青岛'],17:40,19:11,T2,28
KN5955,已到达,"['北京', '南苑机场']",17:40,17:17,T2,29
FM9230,已到达,['鸡西'],17:40,19:11,T2,28
MU5308,已到达,['广州'],17:45,17:31,T2,28
MU5560,已到达,['南昌'],17:50,17:37,T2,29
MU5352,已到达,['深圳'],17:55,18:35,T2,30
MU5390,已到达,['洛阳'],18:10,18:09,T2,31
MU5412,已到达,['成都'],18:10,18:02,T2,29
MU5390,已到达,"['北京', '首都机场']",18:10,18:09,T2,31
MU2505,已到达,['武汉'],18:15,18:27,T2,29
MU2161,已到达,['西安'],18:15,18:06,T2,29
MU5118,已到达,"['北京', '首都机场']",18:20,18:13,T2,31
KN2317,已起飞,['石家庄'],18:30,待定,T2,29
MU5312,已到达,['广州'],18:45,18:25,T2,28
FM9458,已到达,['贵阳'],18:45,18:39,T2,27
MU2509,已到达,['武汉'],18:50,18:42,T2,29
MU5272,已到达,['长沙'],18:50,18:21,T2,30
FM9298,已到达,['揭阳'],18:55,19:09,T2,27
MU5811,已到达,['昆明'],18:55,18:55,T2,30
MU5980,-,['昆明'],18:55,待定,-,待定
FM9298,已到达,['珠海'],18:55,19:09,T2,27
MU5980,已到达,['保山'],18:55,13:43,T2,8
MU5811,已到达,['昆明'],18:55,18:55,T2,30
MU5350,已到达,['深圳'],19:00,18:44,T2,30
MU5524,已到达,['青岛'],19:10,19:34,T2,28
MU2165,已到达,['西安'],19:10,19:02,T2,29
MU2165,已到达,['嘉峪关'],19:10,19:02,T2,29
FM9064,已到达,['天津'],19:15,19:08,T2,28
MU5120,已到达,"['北京', '首都机场']",19:15,19:02,T2,31
FM9330,已到达,['郑州'],19:20,19:00,T2,27
MU5432,已起飞,['重庆'],19:20,待定,T2,29
MU2406,已起飞,['太原'],19:25,待定,T2,29
MU5526,已起飞,['烟台'],19:30,待定,T2,29
MU5526,已起飞,['牡丹江'],19:30,待定,T2,29
FM9270,已到达,['井冈山'],19:35,19:04,T2,27
FM9270,已到达,['海口'],19:35,19:04,T2,27
MU5530,未起飞,['青岛'],19:55,待定,T2,28
MU5530,已起飞,['大庆'],19:55,待定,T2,28
MU5536,未起飞,['武夷山'],20:00,待定,T2,30
FM9400,已到达,['长沙'],20:00,19:43,T2,27
FM9334,取消(计划),['深圳'],20:00,待定,T2,30
FM9400,已到达,['梧州'],20:00,19:43,T2,27
MU5536,备降,['南宁'],20:00,待定,T2,30
FM9318,已到达,['广州'],20:05,19:23,T2,28
MU2513,未起飞,['武汉'],20:10,待定,T2,29
FM9376,已起飞,['郑州'],20:10,待定,T2,27
FM9454,已起飞,['昆明'],20:10,待定,T2,30
FM9454,已起飞,['西双版纳'],20:10,待定,T2,30
MU2180,已起飞,['烟台'],20:15,待定,T2,29
FM9374,已起飞,['厦门'],20:15,待定,T2,28
MU5122,已起飞,"['北京', '首都机场']",20:15,待定,T1,9
MU2180,已起飞,['延吉'],20:15,待定,T2,29
MU2127,已起飞,['兰州'],20:40,待定,T2,29
MU5354,已起飞,['深圳'],20:45,待定,T2,30
FM9108,已起飞,"['北京', '首都机场']",20:50,待定,T2,31
MU5310,已起飞,['广州'],20:55,待定,T2,28
MU2410,未起飞,['太原'],21:10,待定,T2,30
MU2410,已起飞,['呼和浩特'],21:10,待定,T2,30
FM9574,未起飞,['烟台'],21:15,待定,T2,27
MU5124,已起飞,"['北京', '首都机场']",21:15,待定,T2,31
FM9574,已起飞,['丹东'],21:15,待定,T2,27
FM9210,已起飞,['南宁'],21:20,待定,T2,27
MU9725,已起飞,['大理'],21:25,待定,T2,30
FM9362,未起飞,['长沙'],21:40,待定,T2,27
MU5434,未起飞,['重庆'],21:40,待定,T2,29
MU2216,-,['西安'],21:45,待定,-,待定
MU5356,已起飞,['深圳'],21:45,待定,T1,9
FM9316,未起飞,['广州'],21:45,待定,T2,28
MU2336,已起飞,['西安'],21:45,待定,T2,29
MU2336,已起飞,['拉萨'],21:45,待定,T2,29
MU2216,已到达,['敦煌'],21:45,17:51,T2,309
FM9466,未起飞,['郑州'],21:50,待定,T2,27
FM9502,未起飞,['揭阳'],21:50,待定,T2,27
FM9466,已起飞,['鄂尔多斯'],21:50,待定,T2,27
FM9262,未起飞,['厦门'],21:55,待定,T2,28
MU5440,未起飞,['天津'],21:55,待定,T2,28
FM9128,已起飞,['呼和浩特'],21:55,待定,T2,27
FM9128,已起飞,['海拉尔'],21:55,待定,T2,27
MU2470,未起飞,['武汉'],22:10,待定,T2,29
FM9216,未起飞,['珠海'],22:10,待定,T2,27
MU2470,已起飞,['恩施'],22:10,待定,T2,29
FM9204,未起飞,['西安'],22:15,待定,T2,28
MU5126,未起飞,"['北京', '首都机场']",22:15,待定,T2,31
FM9372,未起飞,['盐城'],22:25,待定,T2,27
FM9372,已起飞,['延吉'],22:25,待定,T2,27
MU5550,未起飞,['临沂'],22:30,待定,T2,29
FM9404,未起飞,['成都'],22:30,待定,T2,27
MU2993,未起飞,['赣州'],22:40,待定,T2,29
FM9424,未起飞,['重庆'],22:40,待定,T2,27
MU5220,未起飞,['珠海'],22:45,待定,T2,29
FM9186,未起飞,['沈阳'],22:45,待定,T2,27
MU5664,未起飞,['厦门'],22:50,待定,T2,28
MU5316,未起飞,['广州'],22:50,待定,T2,28
FM9380,未起飞,['深圳'],22:55,待定,T2,30
MU5580,未起飞,['福州'],23:05,待定,T2,29
FM9364,未起飞,['武汉'],23:10,待定,T2,29
MU5813,未起飞,['昆明'],23:15,待定,T2,30
FM9522,未起飞,['三亚'],23:15,待定,T2,27
MU5960,-,['昆明'],23:15,待定,-,待定
MU5960,已到达,['临沧'],23:15,18:43,T2,7
MU5210,未起飞,['揭阳'],23:20,待定,T2,30
MU5128,未起飞,"['北京', '首都机场']",23:20,待定,T2,31
MU5634,未起飞,['乌鲁木齐'],23:25,待定,T2,29
MU5634,已起飞,['喀什'],23:25,待定,T2,29
FM9396,未起飞,['长沙'],23:30,待定,T2,27
MU5144,未起飞,['天津'],23:30,待定,T2,28
MU5144,已起飞,['哈尔滨'],23:30,待定,T2,28
MU5582,未起飞,['威海'],23:35,待定,T2,30
MU5690,未起飞,['呼和浩特'],23:40,待定,T1,9
FM9550,未起飞,['成都'],23:40,待定,T2,27
MU5158,未起飞,"['北京', '首都机场']",23:45,待定,T2,31
FM9426,未起飞,['重庆'],23:45,待定,T1,9
MU7786,未起飞,['信阳市'],23:50,待定,T2,31
FM9320,未起飞,['广州'],23:50,待定,T1,9
MU7786,已起飞,['重庆'],23:50,待定,T2,31
MU5160,未起飞,"['北京', '首都机场']",23:55,待定,T2,31
MU5362,未起飞,['深圳'],23:55,待定,T2,30
